Hi[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[180, 139, 65]
[180, 65, 139]
[139, 180, 65]
[139, 65, 180]
[65, 180, 139]
[65, 139, 180]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
[25, 30, 10]
[25, 10, 30]
[30, 25, 10]
[30, 10, 25]
[10, 25, 30]
[10, 30, 25]
